x,y,z
0,0,0
0.15,0.201101654,0
0.3,0.33193028,0
0.45,0.440784594,0
0.6,0.534719942,0
0.75,0.616385094,0
0.9,0.686705863,0
1.05,0.74543832,0
1.2,0.790831287,0
1.35,0.816,0
